DIRECTORIO,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas,Recibieron_Subsidio,Dinero_subsidio,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas
7141315,9.0,2.0,1.0,5.0,5.0,4.0, ,2,1,600000,300000,2,1,1200000, , , , , 
7141343,9.0,2.0,1.0,5.0,5.0,4.0, ,3,2,2300000,1150000,2,1,12000000, , , , , 
7141439,9.0,1.0,1.0,1.0,4.0,1.0,2,2,1,1079782,539891,2,1,360000,1,1, ,15000,3000
7141861,1.0,1.0,1.0,1.0,4.0,1.0,3,3,2,4137833,827566,5,1,800000,5,1, ,455000,48000
7141864,1.0,1.0,1.0,1.0,4.0,1.0,1,3,2,1412250,353062,4,2,960000,3,3,12,110000,25000
7141995,1.0,2.0,1.0,1.0,6.0,4.0, ,4,1,703333,234444,3,1,600000, , , , , 
7142036,1.0,2.0,1.0,1.0,6.0,3.0,1,3,2,467500,93500,5,4,2020000,3, , ,28440, 
7142057,3.0,1.0,2.0,1.0,4.0,4.0,3,5,2,4128333,2064166,2,1,800000, ,1, ,56000, 
7142155,3.0,2.0,1.0,5.0,6.0,4.0,1,3,2,895000,298333,3,1,300000, ,1, ,10800, 
7142169,3.0,2.0,1.0,5.0,6.0,4.0,1,4,2,1241250,413750,3,1,5000000, ,2, ,42000, 
7142172,3.0,2.0,1.0,5.0,6.0,4.0,1,1,1,913333,456666,2,1,4000000, ,2, ,38000, 
7142231,2.0,1.0,1.0,1.0,6.0,4.0,1,4,2,60000,15000,4,1,720000,2,1, ,45000,12000
7142246,2.0,2.0,1.0,1.0,6.0,4.0,1,4,3,915000,183000,5,1,6240000,1,1, ,180000, 
7142527,3.0,1.0,2.0,1.0,4.0,1.0,3,4,3,2833333,708333,4,2,40000,2,2, ,85000,22000
7142848,6.0,1.0,3.0,1.0,4.0,4.0,1,1,1,964583,964583,1,1,900000,1,1, ,90000,70000
7143177,9.0,1.0,3.0,1.0,6.0,4.0,2,1,1,216666,216666,1,1,200000, , , ,0, 
7143193,1.0,1.0,1.0,1.0,4.0,1.0,1,4,3,1528333,254722,6,1,5000000,1,2, ,158000,23000
7143375,5.0,1.0,2.0,1.0,4.0,1.0,3,3,1,860333,860333,1,1,388000,1,2, ,33000,18000
7143460,5.0,1.0,2.0,1.0,6.0,1.0,2,3,3,2727282,681820,4,1,180000, ,2, ,42000,26000
7143575,5.0,1.0,3.0,1.0,4.0,3.0,3,1,1,670000,223333,3,2,1560000,1,2, ,0,15000
7143904,7.0,1.0,2.0,1.0,4.0,1.0,1,3,2,1033333,206666,5,1,4800000, ,1, ,45000,6000
7143906,7.0,1.0,2.0,1.0,4.0,1.0,1,3,2,630666,126133,5,1,800000,2,1, ,90000,10000
7144107,,,,,,,,1,1,150000,150000,1,1,600000, , , ,8000, 
7144369,1.0,1.0,2.0,1.0,4.0,1.0,1,3,1,1116666,372222,3,1,2400000, , , ,19300, 
7144521,1.0,2.0,1.0,5.0,6.0,4.0, ,3,1,1068333,1068333,1,1,8880000, , , , , 
7144611,8.0,1.0,1.0,1.0,4.0,1.0,3,3,3,17220833,3444166,5,1,250000,3,2,3,250000, 
7144665,1.0,1.0,2.0,1.0,4.0,1.0,1,3,2,1912648,637549,3,1,200000,2,2, ,0,0
7144679,1.0,1.0,1.0,1.0,4.0,3.0,1,3,2,1393333,348333,4,1,400000, ,1, ,0, 
7144984,2.0,2.0,2.0,1.0,4.0,3.0,2,2,1,772166,193041,4,1,2000, , , ,22000,12000
7145011,2.0,2.0,1.0,1.0,4.0,1.0,2,3,2,2773000,693250,4,3,99,2,2, ,11000,14000
7145023,2.0,2.0,1.0,1.0,4.0,3.0,2,3,2,730000,182500,4,4,99, ,1, ,20800,89900
7145024,2.0,2.0,2.0,1.0,4.0,1.0,2,3,2,875000,218750,4,1,99,1,1, ,14000,7000
7145025,2.0,2.0,1.0,2.0,6.0,2.0,2,2,2,803000,267666,3,1,1236000, ,1, ,20000,10000
7145108,3.0,2.0,1.0,5.0,7.0,4.0,0,2,1,624333,208111,3,1,700000, , , ,0, 
7145129,3.0,2.0,1.0,1.0,6.0,4.0,1,3,1,533333,266666,2,1,400000, ,1, ,25000, 
7145363,3.0,2.0,1.0,1.0,6.0,4.0,1,5,4,1101000,137625,8,5,600000, ,2, ,61000,58000
7145434,3.0,2.0,1.0,3.0,4.0,4.0,1,3,3,818333,136388,6,1,2000000, , , ,40000,17000
7145679,2.0,2.0,1.0,8.0,7.0,4.0, ,2,1,195000,195000,1,1,780000, , , , , 
7145777,2.0,2.0,1.0,1.0,6.0,4.0,2,3,2,255000,63750,4,1,560000,2,2, ,22870, 
7145802,2.0,1.0,2.0,1.0,4.0,4.0,2,2,2,1212166,303041,4,3,1104000,2, , ,4900,4500
7145805,2.0,1.0,1.0,1.0,6.0,4.0,2,3,2,5109000,1277250,4,2,600000,2,1, ,26100, 
7145906,2.0,1.0,2.0,8.0,7.0,4.0,2,3,1,1308333,654166,2,1,200000, ,1, ,38000,22000
7145970,2.0,1.0,1.0,1.0,6.0,4.0,1,3,1,442000,147333,3,1,504000, ,2, ,0, 
7145973,2.0,1.0,1.0,5.0,7.0,4.0,1,4,2,621041,155260,4,4,252500, , , ,0, 
7145979,2.0,1.0,1.0,5.0,6.0,4.0,2,1,1,247416,123708,2,1,189000, , , ,0, 
7146187,,,,,,,,3,2,1347000,673500,2,1,800000,1,1, ,55000, 
7146277,4.0,1.0,1.0,1.0,7.0,4.0,2,2,1,850833,425416,2,1,500000, ,1, ,6700, 
7146621,3.0,1.0,2.0,1.0,4.0,1.0,5,3,1,1005000,1005000,1,1,360000,1,3, ,87000,22000
7146743,3.0,1.0,1.0,1.0,4.0,3.0,2,4,1,1561666,520555,3,1,13000000,2,1, ,30000,8000
7146755,3.0,1.0,1.0,1.0,4.0,3.0,2,4,3,1241500,413833,3,1,1180000,2,1, ,24500,12000
7146760,3.0,1.0,1.0,1.0,4.0,4.0,1,3,2,840000,280000,3,1,240000,1,2,0,16000,15000
7146908,6.0,1.0,2.0,1.0,4.0,1.0,2,2,1,900000,900000,1,1,4800000,1,2, ,18000,13000
7146992,6.0,1.0,2.0,1.0,4.0,1.0,3,4,2,4560000,2280000,2,1,12000000,2,2, ,37161,22018
7146994,6.0,1.0,2.0,1.0,4.0,1.0,3,4,3,1201000,200166,6,1,13200000,3,1, ,53000,35000
7147234,4.0,1.0,2.0,1.0,4.0,1.0,1,3,2,1053833,351277,3,1,606000,2,1, ,21000, 
7147521,1.0,1.0,2.0,1.0,4.0,3.0,4,4,1,2583333,1291666,2,1,98,1,2, ,145000,20000
7147606,1.0,1.0,3.0,5.0,7.0,4.0,1,1,1,708833,177208,4,1,400000, ,2, ,0, 
7147776,1.0,2.0,1.0,8.0,7.0,4.0,1,1,1,768000,192000,4,1,2880000, ,1, ,0, 
7147841,3.0,1.0,1.0,5.0,6.0,4.0,1,1,1,228333,228333,1,1,99, ,1, ,3250, 
7147861,3.0,1.0,1.0,5.0,6.0,4.0,1,3,1,616666,616666,1,1,500000, ,2, ,10000, 
7147974,2.0,1.0,2.0,1.0,6.0,3.0,1,2,1,720000,360000,2,2,360000, ,1, ,55000, 
7148041,4.0,2.0,1.0,2.0,6.0,2.0,1,3,1,550000,550000,1,1,300000, ,1, ,17000, 
7148092,4.0,2.0,1.0,2.0,6.0,2.0,1,2,2,288333,96111,3,1,300000, , , ,8000, 
7148158,4.0,1.0,2.0,1.0,4.0,1.0,1,3,2,733333,366666,2,1,400000,1,1, ,17000,6800
7148354,9.0,1.0,3.0,1.0,4.0,1.0,1,1,1,466666,466666,1,1,1200000, ,2, ,11000, 
7148427,9.0,2.0,1.0,5.0,7.0,4.0,9,1,1,630666,105111,6,1,700000, , , ,20000, 
7148686,1.0,1.0,1.0,5.0,7.0,4.0,0,2,1,1320000,440000,3,1,4800000,1, , ,0, 
7148693,1.0,1.0,1.0,1.0,4.0,4.0,1,4,1,466666,155555,3,1,350000,2,1, ,0, 
7148943,1.0,2.0,3.0,1.0,6.0,4.0,1,1,1,248750,49750,5,1,252500,3, , ,0, 
7149048,8.0,1.0,2.0,1.0,4.0,1.0,3,2,2,2680416,670104,4,2,480000,2,1, ,40000, 
7149102,,,,,,,,3,2,1350033,270006,5,1,40000,3,3,8,0,268000
7149107,1.0,1.0,1.0,1.0,4.0,3.0,1,3,2,1349648,168706,8,3,120000, ,2, ,0, 
7149602,1.0,2.0,1.0,1.0,6.0,4.0,1,3,2,1005000,251250,4,1,900000, ,3, ,22500, 
7149625,5.0,1.0,1.0,1.0,4.0,3.0,2,4,3,2218666,554666,4,2,2264000,2,1, ,20000,16000
7149750,2.0,2.0,1.0,1.0,6.0,3.0,1,3,2,209166,69722,3,1,80000,1,2, ,12000, 
7149765,2.0,2.0,2.0,1.0,6.0,3.0,1,2,1,603000,201000,3,1,1236000, , , ,10000,13000
7149788,2.0,2.0,1.0,1.0,6.0,3.0,2,3,1,216750,216750,1,1,120000, , , ,12000, 
7149791,2.0,2.0,1.0,1.0,4.0,4.0,1,2,1,1426166,475388,3,1,550000,2,1, ,20000,35000
7149795,2.0,2.0,1.0,1.0,4.0,4.0,1,2,1,502500,167500,3,1,600000, , , ,36000,30000
7149797,2.0,2.0,1.0,1.0,6.0,4.0,1,3,2,410000,102500,4,1,600000, ,1, ,25000,35000
7149811,2.0,2.0,1.0,1.0,6.0,4.0,1,2,2,566666,141666,4,1,800000, , , ,30000, 
7149821,2.0,2.0,1.0,1.0,4.0,3.0,1,3,2,2134166,533541,4,3,1000000,2,1, ,30000, 
7149828,2.0,2.0,1.0,1.0,6.0,3.0,1,4,3,620833,103472,6,5,1000000,2,1, ,25000, 
7149848,2.0,2.0,1.0,6.0,6.0,4.0,1,3,2,686666,228888,3,1,1200000, ,1, ,36000, 
7149860,2.0,2.0,1.0,1.0,4.0,3.0,0,3,2,1260000,420000,3,1,1200000, , , ,10000, 
7149864,2.0,2.0,1.0,1.0,4.0,3.0,0,3,1,540000,270000,2,2,2880000, ,2, ,19000, 
7149866,2.0,2.0,1.0,1.0,4.0,3.0,0,2,1,750000,375000,2,1,1200000, ,2, ,18500, 
7149871,2.0,2.0,1.0,1.0,4.0,3.0,0,3,2,800000,266666,3,1,2400000, ,2,0,16000, 
7149925,3.0,2.0,1.0,5.0,6.0,4.0,0,2,1,558333,558333,1,1,4000000, ,1, ,12000, 
7149949,3.0,1.0,1.0,1.0,6.0,3.0,1,3,2,1136666,227333,5,2,200000, , , ,50000, 
7149961,3.0,1.0,1.0,1.0,4.0,1.0,2,4,3,3576666,894166,4,4,13000000,2,2,2,33500,30000
7150471,2.0,2.0,1.0,8.0,7.0,4.0,1,5,3,2511000,627750,4,3,792000,3,2, ,30000, 
7150484,2.0,2.0,1.0,5.0,7.0,4.0,1,1,1,392000,130666,3,1,384000, , , ,40000, 
7150727,,,,,,,,2,1,1285833,257166,5,2,160000,2,2, ,72000, 
7150727,,,,,,,,2,1,1285833,257166,5,1,160000,2,2, ,72000, 
7150756,7.0,1.0,2.0,1.0,4.0,1.0,2,3,2,2355000,1177500,2,1,400000,2,1,2,31000,8000
7151333,4.0,2.0,1.0,1.0,6.0,3.0,1,4,3,416666,138888,3,2,200000, , , ,30000, 
7151383,3.0,1.0,1.0,1.0,4.0,1.0,2,4,3,4553232,1138308,4,2,4800000,1,3,1,24700,15000
7151587,3.0,1.0,2.0,1.0,4.0,1.0,1,3,2,1626657,406664,4,2,720000, , , ,20000,10000
7152206,6.0,1.0,2.0,1.0,6.0,4.0,1,1,1,250000,250000,1,1,99,2,3, ,50000, 
7152253,6.0,2.0,1.0,1.0,7.0,3.0,1,1,1,1931233,482808,4,4,800000, ,2, ,20000, 
7152337,6.0,2.0,2.0,1.0,6.0,3.0,1,3,2,1608949,321789,5,1,1600000, ,2, ,24000, 
7152351,6.0,2.0,1.0,5.0,7.0,3.0,1,1,1,1106666,158095,7,1,1400000, ,2, ,50000, 
7152360,6.0,2.0,1.0,5.0,7.0,4.0, ,1,1,361666,361666,1,1,200000, , , , , 
7152693,4.0,1.0,1.0,1.0,4.0,4.0,1,3,1,264166,132083,2,1,980000,2,1, ,34000, 
7152729,9.0,1.0,1.0,8.0,7.0,4.0,1,3,2,1297500,216250,6,1,120000, , , ,20000, 
7152881,9.0,2.0,1.0,5.0,5.0,4.0, ,4,1,950000,316666,3,1,1800000, , , , , 
7152949,9.0,2.0,1.0,5.0,4.0,4.0,0,3,1,3100000,1550000,2,2,12000000, ,2, ,18000, 
7152959,9.0,2.0,2.0,5.0,6.0,4.0,1,7,4,1350000,337500,4,1,6000000,2,1, ,22000, 
7152964,9.0,2.0,3.0,5.0,6.0,4.0,1,2,1,1016666,1016666,1,1,2000000, , , ,0, 
7153003,9.0,2.0,1.0,5.0,5.0,4.0,8,3,2,2350000,783333,3,1,12000000, , , ,0, 
7153006,9.0,2.0,1.0,5.0,5.0,4.0,8,2,1,2050000,683333,3,1,12000000, , , ,0, 
7153038,9.0,2.0,1.0,5.0,5.0,4.0,8,3,2,2025000,337500,6,1,12000000, , , ,0, 
7153073,9.0,1.0,2.0,1.0,4.0,3.0,2,3,2,2875305,575061,5,1,30000,2,2, ,53000,12000
7153078,9.0,1.0,1.0,1.0,6.0,3.0,1,3,2,904166,301388,3,1,50000, ,1, ,24000,4000
7153366,1.0,1.0,2.0,1.0,4.0,1.0,3,3,2,2133333,533333,4,1,800000,2,2,1,130000,60000
7153424,1.0,2.0,1.0,1.0,6.0,3.0,2,3,2,311666,51944,6,1,420000, ,2, ,30000,25000
7153509,1.0,2.0,1.0,1.0,6.0,3.0,1,3,1,166666,83333,2,1,200000, ,1, ,13000, 
7153549,1.0,2.0,1.0,1.0,6.0,3.0,1,3,1,169166,169166,1,1,420000, ,1, ,30000, 
7153550,1.0,2.0,1.0,3.0,6.0,4.0,1,2,1,410000,82000,5,1,300000,3,2, ,0, 
7153999,3.0,2.0,1.0,4.0,6.0,4.0,1,3,3,586166,195388,3,1,200000, ,1, ,15000,35000
7154087,3.0,2.0,1.0,1.0,7.0,4.0,1,1,1,1266449,316612,4,1,4000000,2,3, ,25000, 
7154118,,,,,,,,2,1,1298666,432888,3,1,800000,2,2, ,14000,7000
7154235,2.0,2.0,1.0,1.0,6.0,4.0,1,3,2,1646833,235261,7,1,150000, ,2, ,46000,0
7154280,7.0,1.0,2.0,1.0,4.0,1.0,1,3,2,1110000,370000,3,1,1600000, ,2,1,0,77000
7154745,9.0,1.0,2.0,1.0,6.0,4.0,1,3,2,3130000,1043333,3,2,300000,2,2,8,150000, 
7154771,9.0,1.0,1.0,1.0,6.0,4.0, ,2,1,1316666,1316666,1,1,2000000, , , , , 
7154996,1.0,2.0,1.0,4.0,7.0,4.0,0,3,1,161666,80833,2,1,800000,1, , ,0, 
7155068,1.0,2.0,1.0,4.0,6.0,6.0,1,2,2,332500,66500,5,1,950000,2, , ,30000, 
7155222,1.0,2.0,1.0,3.0,7.0,4.0,1,3,2,839333,167866,5,1,470000,2,1, ,45000, 
7155293,3.0,1.0,1.0,1.0,6.0,4.0,3,4,3,2158116,719372,3,1,480000,2,2, ,81000,45000
7155346,3.0,1.0,1.0,1.0,6.0,4.0,1,4,3,285000,95000,3,1,200000, , , ,12000, 
7155673,2.0,2.0,1.0,1.0,6.0,4.0,2,4,3,458333,458333,1,1,1400000,1,2, ,37000, 
7155684,2.0,2.0,1.0,2.0,6.0,4.0,2,5,1,2295833,1147916,2,1,1400000, ,2, ,27000, 
7155882,7.0,2.0,1.0,1.0,6.0,4.0,2,4,2,975000,325000,3,1,3000000, ,2, ,75000,38000
7156013,3.0,2.0,1.0,1.0,6.0,4.0,2,2,2,466666,233333,2,1,200000, ,1, ,14000, 
7156016,3.0,2.0,1.0,1.0,6.0,4.0,2,3,2,283333,94444,3,1,200000, ,2, ,100000, 
7156138,3.0,2.0,1.0,1.0,2.0,4.0,2,2,2,1026116,513058,2,1,99, ,1, ,40000, 
7156144,3.0,2.0,1.0,1.0,4.0,3.0,1,1,1,1400149,466716,3,1,400000, , , ,0, 
7156145,3.0,2.0,1.0,1.0,4.0,3.0,1,1,1,1097649,365883,3,1,400000, , , ,0, 
7156268,3.0,1.0,1.0,1.0,4.0,4.0,2,4,3,1114314,185719,6,1,50000, , , ,20000,15000
7156281,3.0,2.0,1.0,1.0,4.0,3.0,1,2,1,165000,41250,4,2,600000,1,2, ,10000, 
7156685,6.0,1.0,2.0,1.0,6.0,1.0,2,3,1,2018000,672666,3,1,10000000, ,1, ,20000, 
7156738,1.0,2.0,1.0,1.0,4.0,3.0,1,5,2,1800000,600000,3,1,2400000,4,2, ,44790, 
7156958,9.0,2.0,1.0,5.0,5.0,4.0, ,2,2,398333,36212,11,1,700000, , , , , 
7157283,9.0,1.0,1.0,1.0,6.0,4.0,9,2,1,445000,445000,1,1,300000, , , ,8000, 
7157465,1.0,2.0,1.0,3.0,7.0,4.0,1,2,2,1053333,351111,3,1,1400000,3,1, ,10000, 
7157470,8.0,1.0,1.0,1.0,4.0,1.0,2,3,2,3866333,1288777,3,1,384000,2,2, ,75000, 
7157472,8.0,1.0,2.0,1.0,4.0,3.0,2,2,1,1428416,714208,2,1,280000,2,2, ,35000, 
7157978,1.0,1.0,1.0,1.0,6.0,4.0,1,2,1,1310333,655166,2,1,3000000, , , ,45000,12000
7158188,2.0,1.0,1.0,1.0,4.0,3.0,2,2,1,1250833,625416,2,1,280000, ,2, ,15000,13000
7158330,3.0,2.0,1.0,1.0,4.0,4.0,1,5,3,1118333,279583,4,2,2100000, ,1, ,24000, 
7158358,3.0,1.0,1.0,1.0,6.0,4.0,1,3,2,1009083,168180,6,6,1000000, ,1, ,20000, 
7158400,3.0,1.0,1.0,1.0,6.0,4.0,1,3,2,873100,218275,4,3,300000, , , ,29000, 
7158617,3.0,1.0,2.0,1.0,4.0,4.0,2,4,3,2037166,679055,3,1,1600000, ,1, ,9500,5000
7159276,4.0,1.0,1.0,5.0,5.0,4.0,1,3,2,1127500,375833,3,1,3690000,1, , ,15000, 
7159280,4.0,1.0,1.0,1.0,4.0,1.0,1,4,3,1108666,277166,4,1,580000,2,1, ,24000, 
7159294,4.0,1.0,3.0,5.0,5.0,4.0,1,1,1,703333,703333,1,1,1460000, ,1, ,15000, 
7159300,4.0,1.0,1.0,5.0,5.0,4.0,1,3,3,850000,121428,7,4,580000,1,1, ,65000, 
7159306,4.0,1.0,1.0,5.0,5.0,4.0,1,3,2,1960000,490000,4,4,2340000,1,1, ,40000, 
7159316,4.0,1.0,1.0,1.0,6.0,1.0,1,3,2,927500,231875,4,1,990000, ,1, ,25000, 
7159317,4.0,1.0,2.0,1.0,6.0,1.0,1,4,3,1580000,395000,4,1,900000,2,1, ,15000, 
7159326,4.0,1.0,1.0,1.0,6.0,4.0,1,3,1,735000,183750,4,3,580000, ,1, ,20000, 
7159331,4.0,1.0,1.0,5.0,5.0,4.0,1,2,1,250000,125000,2,1,800000, ,1, ,15000, 
7159334,4.0,1.0,2.0,1.0,4.0,1.0,1,3,2,1181666,590833,2,1,500000, ,1, ,47000, 
7159339,4.0,1.0,1.0,1.0,4.0,1.0,1,4,3,1554166,518055,3,1,470000,1,3, ,70000, 
7159340,4.0,1.0,1.0,1.0,6.0,1.0,1,2,1,3285520,657104,5,4,997000,3,1, ,15000, 
7159345,4.0,1.0,1.0,5.0,5.0,4.0,1,3,1,666666,333333,2,1,800000, ,2, ,30000, 
7159356,4.0,1.0,1.0,5.0,5.0,4.0,1,3,2,1839949,367989,5,5,840000, ,1, ,21000, 
7159358,4.0,1.0,1.0,1.0,6.0,4.0,1,3,2,1646916,235273,7,6,995000, , , ,32000, 
7159363,4.0,1.0,1.0,1.0,6.0,1.0,1,5,4,2231666,247962,9,1,800000, ,1, ,20000, 
7159378,4.0,2.0,1.0,1.0,6.0,4.0,1,3,1,754416,377208,2,1,533000, ,1, ,30000, 
7159390,4.0,2.0,1.0,5.0,6.0,4.0,1,4,3,925000,308333,3,1,900000, ,1, ,35000, 
7159654,3.0,2.0,1.0,1.0,4.0,3.0,2,2,2,1147000,382333,3,1,408000,1,2, ,86000, 
7160282,4.0,1.0,1.0,1.0,4.0,4.0,1,5,4,3433333,858333,4,1,800000,3,3, ,40000, 
7160469,4.0,2.0,1.0,5.0,5.0,4.0, ,4,2,313833,156916,2,1,1433000, , , , , 
7160682,9.0,2.0,1.0,1.0,6.0,3.0,1,3,2,545000,272500,2,1,600000, , , ,2000, 
7161347,3.0,2.0,1.0,5.0,6.0,4.0,1,4,2,1580000,526666,3,1,6000000, ,1, ,40000, 
7161705,7.0,1.0,2.0,1.0,4.0,1.0,1,4,3,490000,81666,6,5,700000,1,2, ,69500,45000
7161713,7.0,1.0,2.0,1.0,4.0,1.0,1,4,2,3072125,1024041,3,1,420000,1,2, ,24000,8200
7161716,4.0,1.0,3.0,1.0,4.0,1.0,1,1,1,1115833,223166,5,3,180000,1,3,2,120000, 
7161898,3.0,1.0,3.0,1.0,2.0,2.0,3,1,1,753000,376500,2,1,408000, ,1, ,20000, 
7161961,6.0,1.0,2.0,1.0,4.0,1.0,2,5,3,2740500,685125,4,1,1000000,2,2, ,32000,10000
7162452,9.0,1.0,1.0,1.0,4.0,4.0,2,5,4,3405666,851416,4,1,540000,3,1, ,39000,43000
7162492,1.0,1.0,1.0,1.0,4.0,1.0,2,3,2,1286032,183718,7,1,800000,2,2, ,75000,30000
7162714,1.0,1.0,1.0,4.0,6.0,4.0,1,2,1,1233333,205555,6,3,280000, , , ,35000,53000
7163142,1.0,1.0,1.0,1.0,6.0,1.0,1,3,2,2102864,525716,4,2,56000,2,2,2,170000,10000
7163150,1.0,1.0,2.0,1.0,4.0,3.0,4,4,2,1541666,513888,3,1,500000,3,2,2,170000,30000
7163255,1.0,1.0,1.0,1.0,4.0,3.0,1,3,2,465000,116250,4,4,900000, ,1, ,73000,20000
7163267,1.0,1.0,1.0,1.0,6.0,3.0,2,1,1,700000,350000,2,1,1200000, , , ,25000,30000
7163617,1.0,2.0,1.0,5.0,7.0,4.0,9,2,2,2521666,420277,6,1,12400000,3,2, ,0, 
7163818,2.0,2.0,1.0,6.0,6.0,4.0,1,3,2,1555000,388750,4,1,1200000,2, , ,4000, 
7163828,2.0,2.0,1.0,5.0,5.0,3.0,1,2,2,502000,251000,2,1,120000, ,2, ,11000, 
